artistmbid	tag
66003585-5be1-4afa-8d37-e7c43743232b	seen live
66003585-5be1-4afa-8d37-e7c43743232b	singer-songwriter
66003585-5be1-4afa-8d37-e7c43743232b	indie
66003585-5be1-4afa-8d37-e7c43743232b	experimental
66003585-5be1-4afa-8d37-e7c43743232b	folk
66003585-5be1-4afa-8d37-e7c43743232b	rock
66003585-5be1-4afa-8d37-e7c43743232b	discovered live first
66003585-5be1-4afa-8d37-e7c43743232b	sadcore
66003585-5be1-4afa-8d37-e7c43743232b	indie pop
66003585-5be1-4afa-8d37-e7c43743232b	indie rock
66003585-5be1-4afa-8d37-e7c43743232b	Lo-Fi
66003585-5be1-4afa-8d37-e7c43743232b	beautiful
66003585-5be1-4afa-8d37-e7c43743232b	american
66003585-5be1-4afa-8d37-e7c43743232b	Troy Von Balthazar
66003585-5be1-4afa-8d37-e7c43743232b	pop
66003585-5be1-4afa-8d37-e7c43743232b	slowcore
66003585-5be1-4afa-8d37-e7c43743232b	indie folk
66003585-5be1-4afa-8d37-e7c43743232b	duyster
66003585-5be1-4afa-8d37-e7c43743232b	chokebore
66003585-5be1-4afa-8d37-e7c43743232b	electronic
66003585-5be1-4afa-8d37-e7c43743232b	alternative rock
66003585-5be1-4afa-8d37-e7c43743232b	post-rock
66003585-5be1-4afa-8d37-e7c43743232b	favorites
66003585-5be1-4afa-8d37-e7c43743232b	Love
66003585-5be1-4afa-8d37-e7c43743232b	piano
66003585-5be1-4afa-8d37-e7c43743232b	low-fi
66003585-5be1-4afa-8d37-e7c43743232b	guitar
66003585-5be1-4afa-8d37-e7c43743232b	weird
66003585-5be1-4afa-8d37-e7c43743232b	check
66003585-5be1-4afa-8d37-e7c43743232b	singer songwriter
66003585-5be1-4afa-8d37-e7c43743232b	hawaii
66003585-5be1-4afa-8d37-e7c43743232b	Hmm
66003585-5be1-4afa-8d37-e7c43743232b	easy
66003585-5be1-4afa-8d37-e7c43743232b	tender
66003585-5be1-4afa-8d37-e7c43743232b	alt-folk
66003585-5be1-4afa-8d37-e7c43743232b	All
66003585-5be1-4afa-8d37-e7c43743232b	tag1
66003585-5be1-4afa-8d37-e7c43743232b	honest
66003585-5be1-4afa-8d37-e7c43743232b	luisterpaal
66003585-5be1-4afa-8d37-e7c43743232b	spotify
66003585-5be1-4afa-8d37-e7c43743232b	weirdest live act ever
66003585-5be1-4afa-8d37-e7c43743232b	puccettone
66003585-5be1-4afa-8d37-e7c43743232b	nonchalant
66003585-5be1-4afa-8d37-e7c43743232b	retard
66003585-5be1-4afa-8d37-e7c43743232b	sinnbus
66003585-5be1-4afa-8d37-e7c43743232b	dour festival 2006
66003585-5be1-4afa-8d37-e7c43743232b	Rock And Pop
66003585-5be1-4afa-8d37-e7c43743232b	discovered live
66003585-5be1-4afa-8d37-e7c43743232b	live erlebt
66003585-5be1-4afa-8d37-e7c43743232b	wieder auskramen
66003585-5be1-4afa-8d37-e7c43743232b	primeurs de massy 2006
66003585-5be1-4afa-8d37-e7c43743232b	Vus en concert
66003585-5be1-4afa-8d37-e7c43743232b	Today Is The Day
66003585-5be1-4afa-8d37-e7c43743232b	inelose part three
66003585-5be1-4afa-8d37-e7c43743232b	liszaj radio
66003585-5be1-4afa-8d37-e7c43743232b	live gesehen - bands
66003585-5be1-4afa-8d37-e7c43743232b	even onthouden
66003585-5be1-4afa-8d37-e7c43743232b	lonesome music
66003585-5be1-4afa-8d37-e7c43743232b	vv
66003585-5be1-4afa-8d37-e7c43743232b	Electronic Alternative
66003585-5be1-4afa-8d37-e7c43743232b	vu live en 2005
66003585-5be1-4afa-8d37-e7c43743232b	Ugly Iglu
66003585-5be1-4afa-8d37-e7c43743232b	microblues
66003585-5be1-4afa-8d37-e7c43743232b	troy is made of awesomeness
66003585-5be1-4afa-8d37-e7c43743232b	bikinitest
66003585-5be1-4afa-8d37-e7c43743232b	singier-songwriter
66003585-5be1-4afa-8d37-e7c43743232b	Kint
66003585-5be1-4afa-8d37-e7c43743232b	black band
66003585-5be1-4afa-8d37-e7c43743232b	100000 Tonnen Kruppstahl
66003585-5be1-4afa-8d37-e7c43743232b	singAsongWriter
66003585-5be1-4afa-8d37-e7c43743232b	shitfolk
66003585-5be1-4afa-8d37-e7c43743232b	sad noises
66003585-5be1-4afa-8d37-e7c43743232b	discovered through a last fm user
12dc16a2-2a05-4961-bb12-6f3d169e633a	Hip-Hop
12dc16a2-2a05-4961-bb12-6f3d169e633a	underground hip-hop
12dc16a2-2a05-4961-bb12-6f3d169e633a	experimental
12dc16a2-2a05-4961-bb12-6f3d169e633a	seen live
12dc16a2-2a05-4961-bb12-6f3d169e633a	rap
12dc16a2-2a05-4961-bb12-6f3d169e633a	experimental hip-hop
12dc16a2-2a05-4961-bb12-6f3d169e633a	dalek
12dc16a2-2a05-4961-bb12-6f3d169e633a	hip hop
12dc16a2-2a05-4961-bb12-6f3d169e633a	underground rap
12dc16a2-2a05-4961-bb12-6f3d169e633a	anarchist
12dc16a2-2a05-4961-bb12-6f3d169e633a	class war
12dc16a2-2a05-4961-bb12-6f3d169e633a	underground hip hop
12dc16a2-2a05-4961-bb12-6f3d169e633a	underground
12dc16a2-2a05-4961-bb12-6f3d169e633a	abstract hip-hop
12dc16a2-2a05-4961-bb12-6f3d169e633a	REVOLUTIONARY
12dc16a2-2a05-4961-bb12-6f3d169e633a	conscious
12dc16a2-2a05-4961-bb12-6f3d169e633a	boom bap
12dc16a2-2a05-4961-bb12-6f3d169e633a	politcal
12dc16a2-2a05-4961-bb12-6f3d169e633a	sl
12dc16a2-2a05-4961-bb12-6f3d169e633a	Conscious Hip Hop
12dc16a2-2a05-4961-bb12-6f3d169e633a	asymmetry
12dc16a2-2a05-4961-bb12-6f3d169e633a	vu live en 2011
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	noise rock
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	indie rock
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	sadcore
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	indie
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	slowcore
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	seen live
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	rock
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	post-hardcore
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	noise
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	alternative rock
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	alternative
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	emo
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	sad
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Lo-Fi
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	post-rock
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	american
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Grunge
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	shoegaze
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	90s
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	experimental
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	USA
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	hawaii
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	my favorite band
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	amrep
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	amphetamine reptile
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Experimental Rock
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	melancholic
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	underrated
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Favorite
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	leiwand - frontline
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	noisie sadcore
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	sad noise
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Troy Von Balthazar
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	math rock
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Post punk
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Awesome
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Doom
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	poetry
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Progressive
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Mellow
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	melancholy
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	check out later
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	depressing
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	male vocalist
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	art punk
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	los angeles
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	check out
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	2000s
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	2010s
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	1990s
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	suicidal
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	to check out
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	honolulu
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Hawaiian
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	depressive rock
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	From: USA
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	noise-rock
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	All
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	post-whatever
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	sad rock
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	duyster
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	spotify
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	lookup
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	to-listen
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	list
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	bands ive seen live
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	FIR
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	leiwand4u fm
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Rock or Something like it
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	fucking sad
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	gravenhurst
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	post something
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Brilliant band
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	nu stuff 6
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	You Drive Me Crazy
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	post-noise-math
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	seen live - dour 2010
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	better than you'll ever be
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	liszaj radio
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	eclectic bistro
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	Power Indie
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	it crawled from the 90s
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	vu live en 1996
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	vu live en 2001
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	dour 2010
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	without hate im nothing
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	zaboravljeni bendovi
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	wer weiss
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	women are incapable of enjoying this
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	hameryka
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	music vs your dad 1:0
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	deprimukke
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	heartattack
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	indie and friends
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	super power indie
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	ought to check out
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	co nam zostalo po punku
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	panki grac kurwa mac
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	A Newborn Riot of Dreams
e7680f97-5a8b-48d4-8c36-a0e1f01bf239	sad noises
195599c0-0ffa-4cbf-b5de-b3da903022a9	french hip-hop
195599c0-0ffa-4cbf-b5de-b3da903022a9	rap francais
195599c0-0ffa-4cbf-b5de-b3da903022a9	french rap
195599c0-0ffa-4cbf-b5de-b3da903022a9	Hip-Hop
195599c0-0ffa-4cbf-b5de-b3da903022a9	hip hop
195599c0-0ffa-4cbf-b5de-b3da903022a9	rap
195599c0-0ffa-4cbf-b5de-b3da903022a9	French hip hop
195599c0-0ffa-4cbf-b5de-b3da903022a9	underground hip-hop
195599c0-0ffa-4cbf-b5de-b3da903022a9	political rap
195599c0-0ffa-4cbf-b5de-b3da903022a9	Conscious Rap
195599c0-0ffa-4cbf-b5de-b3da903022a9	underground rap
195599c0-0ffa-4cbf-b5de-b3da903022a9	underground hip hop
195599c0-0ffa-4cbf-b5de-b3da903022a9	alternative hip-hop
195599c0-0ffa-4cbf-b5de-b3da903022a9	conscious hip-hop
195599c0-0ffa-4cbf-b5de-b3da903022a9	rap conscient
195599c0-0ffa-4cbf-b5de-b3da903022a9	french
195599c0-0ffa-4cbf-b5de-b3da903022a9	other
195599c0-0ffa-4cbf-b5de-b3da903022a9	electro hip-hop
195599c0-0ffa-4cbf-b5de-b3da903022a9	hip-hop francais
195599c0-0ffa-4cbf-b5de-b3da903022a9	G-funk
195599c0-0ffa-4cbf-b5de-b3da903022a9	hip-hop franz
195599c0-0ffa-4cbf-b5de-b3da903022a9	Rap Marseillais
195599c0-0ffa-4cbf-b5de-b3da903022a9	rap hardcore
195599c0-0ffa-4cbf-b5de-b3da903022a9	hip hop francais
195599c0-0ffa-4cbf-b5de-b3da903022a9	France hip hop
195599c0-0ffa-4cbf-b5de-b3da903022a9	francophone hip hop
195599c0-0ffa-4cbf-b5de-b3da903022a9	rap politique
195599c0-0ffa-4cbf-b5de-b3da903022a9	hiphopfrlab
164f0d73-1234-4e2c-8743-d77bf2191051	Hip-Hop
164f0d73-1234-4e2c-8743-d77bf2191051	rap
164f0d73-1234-4e2c-8743-d77bf2191051	hip hop
164f0d73-1234-4e2c-8743-d77bf2191051	rnb
164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West
164f0d73-1234-4e2c-8743-d77bf2191051	seen live
164f0d73-1234-4e2c-8743-d77bf2191051	Gay Fish
164f0d73-1234-4e2c-8743-d77bf2191051	american
164f0d73-1234-4e2c-8743-d77bf2191051	pop
164f0d73-1234-4e2c-8743-d77bf2191051	hiphop
164f0d73-1234-4e2c-8743-d77bf2191051	chicago
164f0d73-1234-4e2c-8743-d77bf2191051	soul
164f0d73-1234-4e2c-8743-d77bf2191051	electronic
164f0d73-1234-4e2c-8743-d77bf2191051	gayfish
164f0d73-1234-4e2c-8743-d77bf2191051	producer
164f0d73-1234-4e2c-8743-d77bf2191051	alternative
164f0d73-1234-4e2c-8743-d77bf2191051	male vocalists
164f0d73-1234-4e2c-8743-d77bf2191051	00s
164f0d73-1234-4e2c-8743-d77bf2191051	kanye
164f0d73-1234-4e2c-8743-d77bf2191051	indie
164f0d73-1234-4e2c-8743-d77bf2191051	rock
164f0d73-1234-4e2c-8743-d77bf2191051	urban
164f0d73-1234-4e2c-8743-d77bf2191051	dance
164f0d73-1234-4e2c-8743-d77bf2191051	r&b
164f0d73-1234-4e2c-8743-d77bf2191051	experimental
164f0d73-1234-4e2c-8743-d77bf2191051	alternative rap
164f0d73-1234-4e2c-8743-d77bf2191051	pop rap
164f0d73-1234-4e2c-8743-d77bf2191051	electronica
164f0d73-1234-4e2c-8743-d77bf2191051	alternative hip-hop
f82bcf78-5b69-4622-a5ef-73800768d9ac	Hip-Hop
f82bcf78-5b69-4622-a5ef-73800768d9ac	rap
f82bcf78-5b69-4622-a5ef-73800768d9ac	hip hop
f82bcf78-5b69-4622-a5ef-73800768d9ac	east coast rap
f82bcf78-5b69-4622-a5ef-73800768d9ac	jay-z
f82bcf78-5b69-4622-a5ef-73800768d9ac	seen live
f82bcf78-5b69-4622-a5ef-73800768d9ac	new york
f82bcf78-5b69-4622-a5ef-73800768d9ac	East Coast
f82bcf78-5b69-4622-a5ef-73800768d9ac	american
f82bcf78-5b69-4622-a5ef-73800768d9ac	hiphop
f82bcf78-5b69-4622-a5ef-73800768d9ac	rnb
f82bcf78-5b69-4622-a5ef-73800768d9ac	Brooklyn
f82bcf78-5b69-4622-a5ef-73800768d9ac	pop
f82bcf78-5b69-4622-a5ef-73800768d9ac	Gangsta Rap
f82bcf78-5b69-4622-a5ef-73800768d9ac	roc-a-fella
f82bcf78-5b69-4622-a5ef-73800768d9ac	90s
f82bcf78-5b69-4622-a5ef-73800768d9ac	jay z
f82bcf78-5b69-4622-a5ef-73800768d9ac	00s
f82bcf78-5b69-4622-a5ef-73800768d9ac	Jigga
f82bcf78-5b69-4622-a5ef-73800768d9ac	urban
f82bcf78-5b69-4622-a5ef-73800768d9ac	male vocalists
f82bcf78-5b69-4622-a5ef-73800768d9ac	NYC
f82bcf78-5b69-4622-a5ef-73800768d9ac	soul
f82bcf78-5b69-4622-a5ef-73800768d9ac	legend
f82bcf78-5b69-4622-a5ef-73800768d9ac	Hova
f82bcf78-5b69-4622-a5ef-73800768d9ac	rock
f82bcf78-5b69-4622-a5ef-73800768d9ac	dance
f82bcf78-5b69-4622-a5ef-73800768d9ac	east coast hip-hop
f82bcf78-5b69-4622-a5ef-73800768d9ac	USA
52074ba6-e495-4ef3-9bb4-0703888a9f68	indie
52074ba6-e495-4ef3-9bb4-0703888a9f68	indie rock
52074ba6-e495-4ef3-9bb4-0703888a9f68	alternative
52074ba6-e495-4ef3-9bb4-0703888a9f68	Canadian
52074ba6-e495-4ef3-9bb4-0703888a9f68	seen live
52074ba6-e495-4ef3-9bb4-0703888a9f68	rock
52074ba6-e495-4ef3-9bb4-0703888a9f68	alternative rock
52074ba6-e495-4ef3-9bb4-0703888a9f68	art rock
52074ba6-e495-4ef3-9bb4-0703888a9f68	baroque pop
52074ba6-e495-4ef3-9bb4-0703888a9f68	folk
52074ba6-e495-4ef3-9bb4-0703888a9f68	experimental
52074ba6-e495-4ef3-9bb4-0703888a9f68	orchestral rock
52074ba6-e495-4ef3-9bb4-0703888a9f68	00s
52074ba6-e495-4ef3-9bb4-0703888a9f68	indie pop
52074ba6-e495-4ef3-9bb4-0703888a9f68	canada
52074ba6-e495-4ef3-9bb4-0703888a9f68	chamber pop
52074ba6-e495-4ef3-9bb4-0703888a9f68	montreal
52074ba6-e495-4ef3-9bb4-0703888a9f68	Arcade Fire
52074ba6-e495-4ef3-9bb4-0703888a9f68	post-punk
52074ba6-e495-4ef3-9bb4-0703888a9f68	orchestral
52074ba6-e495-4ef3-9bb4-0703888a9f68	pop
52074ba6-e495-4ef3-9bb4-0703888a9f68	epic
52074ba6-e495-4ef3-9bb4-0703888a9f68	post-rock
52074ba6-e495-4ef3-9bb4-0703888a9f68	Post-punk revival
52074ba6-e495-4ef3-9bb4-0703888a9f68	female vocalists
52074ba6-e495-4ef3-9bb4-0703888a9f68	folk rock
52074ba6-e495-4ef3-9bb4-0703888a9f68	male vocalists
52074ba6-e495-4ef3-9bb4-0703888a9f68	want to see live
52074ba6-e495-4ef3-9bb4-0703888a9f68	Experimental Rock
52074ba6-e495-4ef3-9bb4-0703888a9f68	Awesome
52074ba6-e495-4ef3-9bb4-0703888a9f68	indie folk
52074ba6-e495-4ef3-9bb4-0703888a9f68	beautiful
52074ba6-e495-4ef3-9bb4-0703888a9f68	quebec
52074ba6-e495-4ef3-9bb4-0703888a9f68	new wave
fee6a7fb-80d9-4290-a171-e48f1f20e381	indie
fee6a7fb-80d9-4290-a171-e48f1f20e381	folk
fee6a7fb-80d9-4290-a171-e48f1f20e381	seen live
fee6a7fb-80d9-4290-a171-e48f1f20e381	british
fee6a7fb-80d9-4290-a171-e48f1f20e381	singer-songwriter
fee6a7fb-80d9-4290-a171-e48f1f20e381	piano
fee6a7fb-80d9-4290-a171-e48f1f20e381	male vocalist
fee6a7fb-80d9-4290-a171-e48f1f20e381	indie pop
fee6a7fb-80d9-4290-a171-e48f1f20e381	indie folk
fee6a7fb-80d9-4290-a171-e48f1f20e381	pop
fee6a7fb-80d9-4290-a171-e48f1f20e381	UK
fee6a7fb-80d9-4290-a171-e48f1f20e381	male vocalists
fee6a7fb-80d9-4290-a171-e48f1f20e381	alternative
fee6a7fb-80d9-4290-a171-e48f1f20e381	piano rock
fee6a7fb-80d9-4290-a171-e48f1f20e381	english
fee6a7fb-80d9-4290-a171-e48f1f20e381	indie rock
fee6a7fb-80d9-4290-a171-e48f1f20e381	acoustic
fee6a7fb-80d9-4290-a171-e48f1f20e381	electronic
fee6a7fb-80d9-4290-a171-e48f1f20e381	soul
fee6a7fb-80d9-4290-a171-e48f1f20e381	cute
fee6a7fb-80d9-4290-a171-e48f1f20e381	singer songwriter
fee6a7fb-80d9-4290-a171-e48f1f20e381	folk pop
fee6a7fb-80d9-4290-a171-e48f1f20e381	love at first listen
fee6a7fb-80d9-4290-a171-e48f1f20e381	beautiful voice
fee6a7fb-80d9-4290-a171-e48f1f20e381	All
fee6a7fb-80d9-4290-a171-e48f1f20e381	bbc sound of 2013
fee6a7fb-80d9-4290-a171-e48f1f20e381	Lowlands 2013
fee6a7fb-80d9-4290-a171-e48f1f20e381	tom odell
37a82661-4315-421a-8ca4-61e3705670f2	racist
37a82661-4315-421a-8ca4-61e3705670f2	tribu ka
37a82661-4315-421a-8ca4-61e3705670f2	humour
37a82661-4315-421a-8ca4-61e3705670f2	antisemite
37a82661-4315-421a-8ca4-61e3705670f2	mouvement raelien
37a82661-4315-421a-8ca4-61e3705670f2	nazi
37a82661-4315-421a-8ca4-61e3705670f2	Rael
37a82661-4315-421a-8ca4-61e3705670f2	allahdonne melamouala
37a82661-4315-421a-8ca4-61e3705670f2	nouvelle scene francaise
37a82661-4315-421a-8ca4-61e3705670f2	islamonazism
37a82661-4315-421a-8ca4-61e3705670f2	propagandastaffel
37a82661-4315-421a-8ca4-61e3705670f2	french
37a82661-4315-421a-8ca4-61e3705670f2	nsbm
37a82661-4315-421a-8ca4-61e3705670f2	not funny
37a82661-4315-421a-8ca4-61e3705670f2	national socialist black metal
37a82661-4315-421a-8ca4-61e3705670f2	singe
37a82661-4315-421a-8ca4-61e3705670f2	dieu pas donne
37a82661-4315-421a-8ca4-61e3705670f2	islamic republic of frankistan
37a82661-4315-421a-8ca4-61e3705670f2	free palestine
37a82661-4315-421a-8ca4-61e3705670f2	artiste
37a82661-4315-421a-8ca4-61e3705670f2	anti sioniste
37a82661-4315-421a-8ca4-61e3705670f2	emo
37a82661-4315-421a-8ca4-61e3705670f2	shoegaze
37a82661-4315-421a-8ca4-61e3705670f2	gay
37a82661-4315-421a-8ca4-61e3705670f2	comedy
37a82661-4315-421a-8ca4-61e3705670f2	france
37a82661-4315-421a-8ca4-61e3705670f2	cameroon
37a82661-4315-421a-8ca4-61e3705670f2	DSBM
37a82661-4315-421a-8ca4-61e3705670f2	shitcore
